Name,St.No.,Street Name,City,State,Zip,Municipality,Category,
Aldi #68,4578,Wm Flynn Highway,Allison Park,PA,15101,Hampton,Chain Supermarket,
Aldi #69,8000,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Retail/Convenience Store,
Aldi #72,3089,Sussex Avenue,Pittsburgh,PA,15226,Baldwin Twp,Chain Supermarket,
Aldi #73,114,Chartiers Ave,Mc Kees Rocks,PA,15136,McKees Rocks,Chain Packaged Food Only,
Aldi #77,11800,Perry Highway,Wexford,PA,15090,Pine,Chain Retail/Convenience Store,
Aldi #79,2628,Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Chain Retail/Convenience Store,
Aldi #80,5631,Baum  Blvd,Pittsburgh,PA,15213,Pittsburgh-108,Chain Retail/Convenience Store,
Aldi #81,3013,Washington Pike,Bridgeville,PA,15017,South Fayette,Chain Supermarket,
Aldi #89,300,Eden Park  Boulevard,Mc Keesport,PA,15132,McKeesport,Chain Supermarket,
Aldi #90,7350,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Chain Supermarket,
Aldi #92,5239,Brownsville  Road,Pittsburgh,PA,15236,Baldwin Boro,Supermarket,
Aldi #93,7221,Mcknight Road,Pittsburgh,PA,15237,Ross,Chain Supermarket,
Aldi #96,1160,Washington Avenue,Carnegie,PA,15106,Scott,Chain Supermarket,
Aldi Store #97,127,7Th Avenue,Homestead,PA,15120,Homestead,Chain Supermarket,
Alex&#39;s Corner Pizza Shop,4902,Cypress St,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant without Liquor,
Alexander&#39;s Italian Bistro,5104,Liberty  Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor,
Alexion&#39;s Bar,141,Hawthorne Avenue,Carnegie,PA,15106,Greentree,Restaurant with Liquor,
Alfred&#39;s &amp; Anna&#39;s Belvederes ,4016,Butler Street,Pittsburgh,PA,15201,Pittsburgh-109,Restaurant with Liquor,
Alfreds Deli &amp; Market,3041,Brereton  Street,Pittsburgh,PA,15219,Pittsburgh-106,Retail/Convenience Store,
Ali Baba Authentic Middle Eastern Food ,404,Craig  Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor,
Alihan&#39;s Mediterranean Cuisine,124,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Alioto&#39;s,17,Grant Avenue,Pittsburgh,PA,15223,Etna,Restaurant with Liquor,
All In Good Taste Productions &amp; Sendall Chocolates,1520,Monterey  Street,Pittsburgh,PA,15212,Pittsburgh-125,Caterer,
