Name,St.No.,Street Name,City,State,Zip,Municipality,Category,
Primanti Brothers Bar &amp; Grill,2,Market  Place,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant with Liquor,
Primanti Brothers Restaurant,830,Clairton Blvd,Pittsburgh,PA,15236,Pleasant Hills,Chain Restaurant with Liquor,
Primanti Brothers Restaurant,3803,Forbes Ave,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant with Liquor,
Prime Time A &amp; B Adult Care,44,Highland Road,Bethel Park,PA,15102,Bethel Park,Adult Food Service,
Primetime Activity Center,440,Lincoln Avenue,Pittsburgh,PA,15202,Bellevue,Adult Food Service,
Prince Humbert Club,1300,Crawford Ave,Duquesne,PA,15110,Duquesne,Social Club-Bar Only,
Prince Of India,3614,5th Ave,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor,
Prince Of Peace Parish Center,81,S 13th St,Pittsburgh,PA,15203,Pittsburgh-117,Church Kitchen,
Priors Tap &amp; Tavern,540,Weyman Road,Pittsburgh,PA,15236,Whitehall,Restaurant with Liquor,
Priory Fine Pastries,528,E Ohio  Street,Pittsburgh,PA,15212,Pittsburgh-123,Bakery,
Produce Plus Market &amp; Deli,471,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,Retail/Convenience Store,
Project Destiny,3737,Brighton Road,Pittsburgh,PA,15212,Pittsburgh-127,Child Food Service,
Project Destiny,2200,California Avenue,Pittsburgh,PA,15212,Pittsburgh-127,Child Food Service,
Project Destiny Early Learning Ctr,2404,Perrysville  Avenue,Pittsburgh,PA,15214,Pittsburgh-126,Child Food Service,
Pronio&#39;s Food Service,1055,Unity Center Rd,Pittsburgh,PA,15239,Plum,Food Processor,
Propel Andrew Street High School Cafeteria,605,E 10th Ave,Homestead,PA,15120,Munhall,Satellite Kitchen,
Propel BHHS Satellite Kitchen,1500,Yost Boulevard,Pittsburgh,PA,15221,Braddock Hills,Satellite Kitchen,
Propel Braddock Hills Elementary,1500,Yost  Boulevard,Pittsburgh,PA,15221,Braddock Hills,Satellite Kitchen,
Propel Braddock Hills Middle School Kitchen,1500,Yost  Boulevard,Pittsburgh,PA,15221,Braddock Hills,Satellite Kitchen,
Propel Charter School,1611,Monroeville Ave,Turtle Creek,PA,15145,Turtle Creek,Satellite Kitchen,
Propel Charter School,129,E 10th Ave,Homestead,PA,15120,Homestead,Satellite Kitchen,
Propel Charter School McKeesport,2412,Versailles Ave,Mc Keesport,PA,15132,McKeesport,Satellite Kitchen,
Propel Charter School Pitcairn,435,Agatha  Street,Pitcairn,PA,15140,Pitcairn,Satellite Kitchen,
Propel Hazelwood,5401,Glenwood Avenue,Pittsburgh,PA,15207,Pittsburgh-115,Satellite Kitchen,
Propel Montour K-8 School,340,Bilmar  Drive,Pittsburgh,PA,15205,Kennedy,Satellite Kitchen,
Propel Northside Kitchen,1805,Buena Vista Street,Pittsburgh,PA,15212,Pittsburgh-125,Satellite Kitchen,
Proper Brick Oven &amp; Tap Room,139,7th Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Proper Pronto Mobile,139,7th Street,Pittsburgh,PA,15222,Pittsburgh-102,Mobile,
Protein A,511,Braddock Avenue,Turtle Creek,PA,15145,East Pittsburgh,Food Processor,
Providence Family Support Center,3113,Brighton Rd,Pittsburgh,PA,15212,Pittsburgh-127,Child Food Service,
Providence Point Bar,500,Providence Point Boulevard,Pittsburgh,PA,15243,Scott,Restaurant with Liquor,
Provident Charter School,1400,Troy Hill  Road,Pittsburgh,PA,15212,Pittsburgh-124,Satellite Kitchen,
Pub in the Park,7034,Blackhawk St,Pittsburgh,PA,15218,Swissvale,Restaurant with Liquor,
Puff Discount Tobacco,10752,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,Retail/Convenience Store,
Puff Discount Tobacco,741,Monongahela Ave,Glassport,PA,15045,Glassport,Packaged Food Only,
Puff Discount Tobacco,3808,O&#39;Neil Blvd,Mc Keesport,PA,15132,McKeesport,Packaged Food Only,
Puff Discount Tobacco #4,7901,Saltsburg Road,Pittsburgh,PA,15239,Plum,Chain Retail/Convenience Store,
Puff Tobacco,4313,Olympia Shop Center,Mc Keesport,PA,15132,Versailles,Chain Packaged Food Only,
Pugliano&#39;s Italian Grill,1808,Golden Mile Hwy,Pittsburgh,PA,15239,Plum,Restaurant with Liquor,
Pusadee&#39;s Garden,5321,Butler Street,Pittsburgh,PA,15201,Pittsburgh-110,Restaurant without Liquor,
Puzzlers Restaurant  &amp; Lounge,2714,Walnut Street,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor,
Pvt Soldiers &amp; Sailors Legion,4059,Blvd Dr,Pittsburgh,PA,15217,Pittsburgh-115,Social Club-Bar Only,
Q &amp; M&#39;s Fish Chik &amp; Ribs,100 A,Boyce Park  Drive,Pittsburgh,PA,15239,Plum,Restaurant without Liquor,
QDoba,601,Grant Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor,
Qdoba #487,808,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor,
Qdoba Mexican Grill,1028,Freeport Road,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant without Liquor,
Qdoba Mexican Grill,4815,Centre Avenue,Pittsburgh,PA,15213,Pittsburgh-108,Chain Restaurant without Liquor,
Qdoba Mexican Grill,3712,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant with Liquor,
Qdoba Mexican Grill,1740,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant without Liquor,
Qdoba Mexican Grill SSW,2777,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,Chain Restaurant without Liquor,
Qua&#39;s Ice Cream,605,2nd Street,Pitcairn,PA,15140,Pitcairn,Mobile,
Quaker Steak &amp; Lube,&nbsp;,Pgh Intl Airport / NE-09B,Pittsburgh,PA,15231,Findlay,Chain Restaurant with Liquor,
Quaker Steak &amp; Lube,110,Andrew Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant with Liquor,
Quaker Valley  High School,625,Beaver  Road,Leetsdale,PA,15056,Leetsdale,Full Service Kitchen,
Quaker Valley Edgeworth Elementary School,200,Meadow Lane,Sewickley,PA,15143,Edgeworth,Full Service Kitchen,
Quaker Valley Middle School,618,Harbaugh Street,Sewickley,PA,15143,Sewickley,Full Service Kitchen,
Quaker Valley Osborne Elementary School,1414,Beaver Rd,Sewickley,PA,15143,Osborne,Full Service Kitchen,
Quality Inn &amp; Suites of Pittsburgh Breakfast,5137,Wm Flynn / Rt #8 Highway,Gibsonia,PA,15044,Hampton,Hotels - Limited Menu Food Service,
Quality Inn Pittsburgh Airport - Breakfast,7011,Old Steubenville Pike,Oakdale,PA,15071,North Fayette,Hotels - Limited Menu Food Service,
Queen Of Rosary Social Hall,530,Michigan Ave,Glassport,PA,15045,Glassport,Church Kitchen,
Quick Stop,3349,Liberty Ave,Pittsburgh,PA,15201,Pittsburgh-106,Retail/Convenience Store,
Quick Stop Sunoco,1640,Saw Mill Run Boulevard,Pittsburgh,PA,15210,Pittsburgh-132,Chain Retail/Convenience Store,
Quicky Mart,668,Washington Road,Pittsburgh,PA,15228,Mt Lebanon,Retail/Convenience Store,
Quik Serv,400,Union Ave,Pittsburgh,PA,15202,Avalon,Retail/Convenience Store,
Quik-It Chicken @ Valero Fueland,820,Pennsylvania  Avenue,Pittsburgh,PA,15233,Pittsburgh-125,Chain Restaurant without Liquor,
Quiznos Subs #8721,300,S Craig St,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor,
R &amp; B&#39;s Pizza Place,105-107,Smithfield St,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor,
R &amp; B&#39;s Pizza Place,421,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,Restaurant without Liquor,
R &amp; M Variety Store,1739,Pennsylvania Ave,West Mifflin,PA,15122,West Mifflin,Retail/Convenience Store,
R Bar,2883,Liberty Avenue,Pittsburgh,PA,15216,Dormont,Restaurant with Liquor,
R Time at Rene&#39;s,1030,5th Ave,East Mc Keesport,PA,15035,East McKeesport,Restaurant with Liquor,
R-Place,102,Enterprise St,Elizabeth,PA,15037,Elizabeth Township,Restaurant without Liquor,
REI #101,412,S 27th St,Pittsburgh,PA,15203,Pittsburgh-116,Chain Packaged Food Only,
REI Store #128,600,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only,
RN Market,256,S Highland,Pittsburgh,PA,15206,Pittsburgh-107,Retail/Convenience Store,
Radio Road #71,&nbsp;,Pgh Intl Airport / AC-32A,Pittsburgh,PA,15231,Findlay,Chain Retail/Convenience Store,
Radokovic Marathon,1826,Lincoln Highway,North Versailles,PA,15137,North Versailles,Retail/Convenience Store,
Ragtime Pizza &amp; Subs,521,W Grant Street,Duquesne,PA,15110,Duquesne,Restaurant without Liquor,
Railyard Grill &amp; Tap Room,413,Railroad  Street,Bridgeville,PA,15017,Bridgeville,Restaurant with Liquor,
Rainbow Kitchen,135,E 9th Ave,Homestead,PA,15120,Homestead,Adult Food Service,
Rainbow Volunteer Fire Co,2916,Jacks Run Rd,Mc Keesport,PA,15131,White Oak,Community Service Facility/Exempt,
Rainbow&#39;s End Child Academy,5849,Forbes Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Child Food Service,
Ralph&#39;s Bar,1,Amanda Avenue,Pittsburgh,PA,15210,Pittsburgh-130,Restaurant with Liquor,
Ramello&#39;s Pizzeria ,749,Allegheny River  Boulevard,Verona,PA,15147,Verona,Restaurant without Liquor,
Ramen Bar,5860,Forbes Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant without Liquor,
Rams Stadium Concession Stand #1,&nbsp;,12th &amp; California Ave,Natrona Heights,PA,15065,Harrison,Satellite Kitchen,
Rams Stadium Concession Stand #2,&nbsp;,12th &amp; California Ave,Natrona Heights,PA,15065,Harrison,Satellite Kitchen,
Ramsey Elementary Cafeteria,2200,Ramsey Rd,Monroeville,PA,15146,Monroeville,Full Service Kitchen,
Randita&#39;s Grill,329,Browns Hill Road,Valencia,PA,16059,Out Of County,Mobile,
Randita&#39;s Organic Vegan Cafe,207,Commercial  Avenue,Pittsburgh,PA,15215,Aspinwall,Restaurant without Liquor,
Randy&#39;s Beer Barrel Pub,3619,Main St,Homestead,PA,15120,Munhall,Restaurant with Liquor,
Raney Day Learning Center,879,Freeport Road,Creighton,PA,15030,East Deer,Child Food Service,
Rania&#39;s To Go,100,Central Sq,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor,
Rankin Christian Center Food Bank,230,3rd St,Braddock,PA,15104,Rankin,Community Service Facility/Exempt,
Rankin Christian Ctr After-School Program,230,3rd St,Braddock,PA,15104,Rankin,Child Food Service,
Rankin Intermediate School Promise Program ,235,4th Street,Braddock,PA,15104,Rankin,Satellite Kitchen,
Rasta House,1204,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant without Liquor,
Raya&#39;s Pizzeria,401,Main Street,Carnegie,PA,15106,Carnegie,Chain Restaurant without Liquor,
Razzy Fresh,300,Craig Street,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor,
Razzy Fresh,3533,Forbes,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor,
Rea&#39;s Restaurant,401,Ferree  Street,Coraopolis,PA,15108,Coraopolis,Restaurant without Liquor,
Real Luck Cafe,1519,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Recovery Room,627,E North Ave,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant with Liquor,
Red &amp; Irene&#39;s Tavern,136,20th  Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
Red Balloon Day Care,624,Orchard Street,Carnegie,PA,15106,Scott,Child Food Service,
Red Bull Dressings,525,W Main Street,Carnegie,PA,15106,Carnegie,Food Processor,
Red Lobster #193,259,Clairton Blvd,Pittsburgh,PA,15236,West Mifflin,Chain Restaurant with Liquor,
Red Lobster #229,4766,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant with Liquor,
Red Lobster #230,3941,Wm Penn  Highway,Monroeville,PA,15146,Monroeville,Chain Restaurant with Liquor,
Red Lobster #6305,6150,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
Red Oak Cafe,3610,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor,
Red Onion Hoagies &amp; Pizza,2925,South Park Road,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor,
Red Orchid,5439,Babcock  Boulevard,Pittsburgh,PA,15237,Ross,Restaurant with Liquor,
Red Paprika Foods,1900,Grandview Avenue,Mc Keesport,PA,15132,McKeesport,Retail/Convenience Store,
Red Ring Restaurant ,1015,Forbes Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor,
Red Robin Gourmet Burgers,200,Mall Circle  Drive,Monroeville,PA,15146,Monroeville,Chain Restaurant with Liquor,
Red Robin Gourmet Burgers #307,175,E Waterfront Dr,Homestead,PA,15120,Homestead,Chain Restaurant with Liquor,
Red Robin Gourmet Burgers #443,301,South Hills Village,Pittsburgh,PA,15241,Bethel Park,Chain Restaurant with Liquor,
Red Robin Gourmet Burgers #470,1020,Pittsburgh Mills Boulevard,Tarentum,PA,15084,Frazer,Chain Restaurant with Liquor,
Red Robin Gourmet Burgers #472,1230,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
Red Star Kombucha Bar,433,Market Street Rear,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant with Liquor,
Red Tea House,1717,Cochran Rd,Pittsburgh,PA,15220,Mt Lebanon,Restaurant without Liquor,
Red&#39;s Pizza &amp; Wings,304,E Warrington  Avenue,Pittsburgh,PA,15210,Pittsburgh-118,Restaurant with Liquor,
Redbeard&#39;s Bar &amp; Grill,201,Shiloh  Street,Pittsburgh,PA,15211,Pittsburgh-119,Chain Restaurant with Liquor,
Redbeard&#39;s On Sixth,144,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant with Liquor,
Redeemer Lutheran Cafeteria,700,Idaho Avenue,Verona,PA,15147,Penn Hills,Satellite Kitchen,
Redfin Blues,100,Waterfront Dr,Pittsburgh,PA,15222,Pittsburgh-124,Restaurant with Liquor,
Redhawk Coffee,5906,Bryant  Street,Pittsburgh,PA,15206,Pittsburgh-111,Mobile,
Redstone Tavern,19,Foster  Avenue,Pittsburgh,PA,15205,Crafton,Restaurant with Liquor,
Reed Smith / The Lion&#39;s Den,225,5th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Reflections Lounge AMF Bowling City Mt Leb ,1601,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant with Liquor,
Regency @ Holiday Park Elementary,4795,Havana Dr,Pittsburgh,PA,15239,Plum,Full Service Kitchen,
Regent Square Theatre,1035,S Braddock Ave,Pittsburgh,PA,15218,Edgewood,Retail/Convenience Store,
Regina Elena,615,Main St,Pittsburgh,PA,15215,Sharpsburg,Restaurant with Liquor,
Regional Learning Alliance,850,Cranberry Woods Dr,Cranberry Township,PA,16066,Marshall,Adult Food Service,
Reid&#39;s Fresh Express,10501,Perry Highway,Wexford,PA,15090,McCandless,Mobile,
Rejavanated ,1424,Pesavento Drive,Bridgeville,PA,15017,Bridgeville,Food Processor,
Reliable Fraternal Assoc,535,Baldwin Street,Bridgeville,PA,15017,Bridgeville,Social Club-Bar Only,
Relish Kitchen &amp; Catering ,511,Millers Run Road,Morgan,PA,15064,South Fayette,Caterer,
Remedy Restaurant &amp; Lounge,5121,Butler St,Pittsburgh,PA,15201,Pittsburgh-110,Restaurant with Liquor,
Remember When,3860,Chartiers Ave,Pittsburgh,PA,15204,Pittsburgh-128,Restaurant without Liquor,
Remo&#39;s Catering,2151,Babcock Boulevard,Pittsburgh,PA,15209,Ross,Caterer,
Renaissance Deli Provisions ,24,Abele Road,Bridgeville,PA,15017,South Fayette,Refrigerated Warehouse,
Renaissance Pittsburgh / Braddock&#39;s American Brasserie,107,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Renaissance Pittsburgh/ Hotel Main Kitchen,107,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Banquet Hall,
Renee&#39;s Hallmark,9805,McKnight Rd,Pittsburgh,PA,15237,McCandless,Chain Packaged Food Only,
Renee&#39;s Hallmark,880,Butler St,Pittsburgh,PA,15223,Shaler,Chain Packaged Food Only,
Renewal Coffee,420,Chartiers Avenue,Mc Kees Rocks,PA,15136,McKees Rocks,Community Service Facility/Exempt,
Rennerdale Corner Store,148,Noblestown Road,Carnegie,PA,15106,Collier,Restaurant without Liquor,
Renton VFD Fireman&#39;s Club,222,Renton,Pittsburgh,PA,15239,Plum,Social Club-Bar Only,
Repurposed,7805,McKnight Road,Pittsburgh,PA,15237,Ross,Packaged Food Only,
Reserve Elementary School,2107,Lonsdale Street,Pittsburgh,PA,15212,Reserve,Satellite Kitchen,
Residence Inn My Marriott Food,1500,Park Lane Drive,Pittsburgh,PA,15275,North Fayette,Hotels - Limited Menu Food Service,
Residence Inn North Shore Breakfast Service,574,General Robinson  Street,Pittsburgh,PA,15212,Pittsburgh-122,Hotels - Limited Menu Food Service,
Residence Inn Oakland / Restaurant,3896,Bigelow Blvd,Pittsburgh,PA,15213,Pittsburgh-105,Chain Restaurant without Liquor,
Residence Inn by Marriott / Breakfast,3455 ,William Penn Highway,Pittsburgh,PA,15235,Wilkins,Hotels - Limited Menu Food Service,
Resolve Crisis Network,333,N Braddock Ave,Pittsburgh,PA,15208,Pittsburgh-114,Hospital/Other Institution,
Restaurant Depot #449,100,35th  Street,Pittsburgh,PA,15201,Pittsburgh-106,Warehouse,
Resurrection Church,1100,Creedmoor Ave,Pittsburgh,PA,15226,Pittsburgh-119,Adult Food Service,
Retro Gourmet Confectioners,2312,Main Street,Pittsburgh,PA,15215,Sharpsburg,Food Processor,
Revel &amp; Roost @ Tower Two-Sixty,250,Forbes Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant with Liquor,
Revelation Health,2772,Harts Run Road,Allison Park,PA,15101,Hampton,Packaged Food Only,
Revival Chili,222,3rd Ave,Carnegie,PA,15106,Carnegie,Food Processor,
Rex Theatre,1602,Carson  Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
Rey Azteca Mexican,3448,Wm Penn Highway,Pittsburgh,PA,15235,Wilkins,Restaurant with Liquor,
Reyes Tienda Mexicana,413,Semple Street,Pittsburgh,PA,15213,Pittsburgh-104,Retail/Convenience Store,
Reyna Foods,2031,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Food Processor,
Rialto Pizza,623,Greenfield Ave,Pittsburgh,PA,15207,Pittsburgh-115,Restaurant with Liquor,
Rib Cage,87,Boat Club Road,Monongahela,PA,15063,Forward,Restaurant without Liquor,
Ricci&#39;s Italian Sausage ,500,Pine Hollow Road,Mc Kees Rocks,PA,15136,Kennedy,Food Processor,
Rice Inn,5041,Library  Road,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor,
Rice King,2199,Babcock Blvd,Pittsburgh,PA,15209,Ross,Restaurant without Liquor,
Rich&#39;s Parkside Den,1907,Donner St,Mc Keesport,PA,15135,Elizabeth Township,Restaurant with Liquor,
Richard J. Hyde Educational Resource Center,110,Wallridge  Drive,Coraopolis,PA,15108,Moon,Full Service Kitchen,
Richland Elementary School Cafeteria,3811,Bakerstown Rd,Gibsonia,PA,15044,Richland,Full Service Kitchen,
Richs Store,403,State St,Clairton,PA,15025,Clairton,Packaged Food Only,
Rico&#39;s,1,Rico Ln,Pittsburgh,PA,15237,Ross,Restaurant with Liquor,
Riggs Lounge &amp; Restaurant,1206,Brighton Road,Pittsburgh,PA,15233,Pittsburgh-122,Restaurant with Liquor,
Right Market,1028,Penn Ave,Pittsburgh,PA,15221,Wilkinsburg,Packaged Food Only,
Riley&#39;s Pour House,215,Main Street,Carnegie,PA,15106,Carnegie,Restaurant with Liquor,
Rimini Bakery,522,Larimer Ave,Pittsburgh,PA,15206,Pittsburgh-112,Food Processor,
Rise Above Bakery &amp; Cafe,2144,Ardmore Blvd,Pittsburgh,PA,15221,Forest Hills,Restaurant without Liquor,
Risen Lord Parish,3250,California  Avenue,Pittsburgh,PA,15212,Pittsburgh-127,Church Kitchen,
Risen Lord Parish Food Pantry,3250,California Avenue,Pittsburgh,PA,15212,Pittsburgh-127,Adult Food Service,
Rita&#39;s Italian Ice,6154,Steubenville Pike,Mc Kees Rocks,PA,15136,Robinson,Restaurant without Liquor,
Rita&#39;s Italian Ice,1000,Sandcastle  Drive,Homestead,PA,15120,West Homestead,Pool Snack Bar/No Liquor,
Rita&#39;s Italian Ice,229,Curry Hollow Rd,Pittsburgh,PA,15236,Baldwin Boro,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice,1320,Babcock Blvd,Pittsburgh,PA,15209,Shaler,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice,5880,Forbes Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice,1985,Lincoln Way,Mc Keesport,PA,15131,White Oak,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice,1803,Mckees Rocks Road,Mc Kees Rocks,PA,15136,Kennedy,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice,3712,5th Ave,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice,11833,Frankstown Road,Pittsburgh,PA,15235,Penn Hills,Restaurant without Liquor,
Rita&#39;s Italian Ice #0183,5029,Library Road,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice #247,2070,Greentree Road,Pittsburgh,PA,15220,Scott,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice #369,427,McNeilly Road,Pittsburgh,PA,15226,Baldwin Twp,Chain Restaurant without Liquor,
Rita&#39;s Italian Ice Cart ,3712,5th Ave,Pittsburgh,PA,15213,Pittsburgh-104,Mobile,
Rita&#39;s Italian Ice Cart #2,4401,Penn Ave,Pittsburgh,PA,15201,Pittsburgh-109,Mobile,
Rita&#39;s Italian Ice Mobile,229,Curry Hollow Rd,Pittsburgh,PA,15236,Pleasant Hills,Mobile,
Rita&#39;s Italian Ice Mobile Trailer,427,McNeilly Road,Pittsburgh,PA,15226,Baldwin Twp,Mobile,
Rita&#39;s Water Ice,10376,Perry Hwy,Wexford,PA,15090,McCandless,Restaurant without Liquor,
Rita&#39;s at Fox Chapel Plaza,1175,Freeport Road,Pittsburgh,PA,15238,O&#39;Hara,Restaurant without Liquor,
Rita&#39;s of Squirrel Hill Mobile Cart,5880,Forbes Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Mobile,
Rite Aid #10914,1700,Pine Hollow Road,Mc Kees Rocks,PA,15136,Kennedy,Chain Packaged Food Only,
Rite Aid #6712,100,Forbes  Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Chain Packaged Food Only,
Rite Aid Phamacies #10911,1236,Long Run Road,Mc Keesport,PA,15131,White Oak,Chain Packaged Food Only,
Rite Aid Phamacies #10926,1222,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Chain Packaged Food Only,
Rite Aid Phamacies #10929,3730,Brighton Rd,Pittsburgh,PA,15212,Pittsburgh-127,Chain Packaged Food Only,
Rite Aid Phamacies #10931,2501,Banksville Rd,Pittsburgh,PA,15216,Pittsburgh-119,Chain Packaged Food Only,
Rite Aid Phamacies #10934,2336,Ardmore Boulevard,Pittsburgh,PA,15221,Forest Hills,Chain Packaged Food Only,
Rite Aid Phamacies #10936,519,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Packaged Food Only,
Rite Aid Phamacies #10942,410,Cooke Ln,Pittsburgh,PA,15234,Castle Shannon,Chain Packaged Food Only,
Rite Aid Phamacies #10947,7345,Saltsburg Rd,Pittsburgh,PA,15235,Penn Hills,Chain Packaged Food Only,
Rite Aid Phamacies #3527,155,Chartiers Ave,Mc Kees Rocks,PA,15136,McKees Rocks,Chain Packaged Food Only,
Rite Aid Phamacies #7924,2270,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Chain Packaged Food Only,
Rite Aid Pharmacies  #10944,10740,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,Chain Packaged Food Only,
Rite Aid Pharmacies #0274,1700,Murray Ave,Pittsburgh,PA,15217,Pittsburgh-114,Chain Packaged Food Only,
Rite Aid Pharmacies #04965,201,Grace St,Pittsburgh,PA,15211,Pittsburgh-119,Chain Packaged Food Only,
Rite Aid Pharmacies #10892,417,Chartiers Street,Bridgeville,PA,15017,Bridgeville,Chain Packaged Food Only,
Rite Aid Pharmacies #10893,1200,Pittsburgh Street,Cheswick,PA,15024,Cheswick,Chain Packaged Food Only,
Rite Aid Pharmacies #10895,400,Lincoln Hwy,East Mc Keesport,PA,15035,East McKeesport,Chain Packaged Food Only,
Rite Aid Pharmacies #10902,411,Corbet Street,Tarentum,PA,15084,Tarentum,Chain Packaged Food Only,
Rite Aid Pharmacies #10903,10554,Perry Hwy,Wexford,PA,15090,McCandless,Chain Packaged Food Only,
Rite Aid Pharmacies #10904,4960,Wm Flynn Hwy / Shoppers Pz,Allison Park,PA,15101,Hampton,Chain Packaged Food Only,
Rite Aid Pharmacies #10905,1701,Duncan Ave,Allison Park,PA,15101,McCandless,Chain Packaged Food Only,
Rite Aid Pharmacies #10906,5235,Library  Road,Bethel Park,PA,15102,Bethel Park,Chain Packaged Food Only,
Rite Aid Pharmacies #10907,2100,Washington Pike,Carnegie,PA,15106,Scott,Chain Packaged Food Only,
Rite Aid Pharmacies #10908,5990,University Blvd / Ste 30,Coraopolis,PA,15108,Moon,Chain Packaged Food Only,
Rite Aid Pharmacies #10909,1710,Mt Royal Blvd,Glenshaw,PA,15116,Shaler,Chain Packaged Food Only,
Rite Aid Pharmacies #10910,4927,Homeville Rd,West Mifflin,PA,15122,West Mifflin,Chain Retail/Convenience Store,
Rite Aid Pharmacies #10915,109,Allegheny River Boulevard,Oakmont,PA,15139,Oakmont,Chain Packaged Food Only,
Rite Aid Pharmacies #10916,517,Beaver St,Sewickley,PA,15143,Sewickley,Chain Packaged Food Only,
Rite Aid Pharmacies #10917,4011,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Rite Aid Pharmacies #10919,4534,Broadway Blvd,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Rite Aid Pharmacies #10920,535,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,Chain Packaged Food Only,
Rite Aid Pharmacies #10921,1915,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Chain Packaged Food Only,
Rite Aid Pharmacies #10922,200,Crafton Ingram Shopping Center,Pittsburgh,PA,15205,Crafton,Chain Packaged Food Only,
Rite Aid Pharmacies #10924,5633,Baum Blvd,Pittsburgh,PA,15206,Pittsburgh-108,Chain Packaged Food Only,
Rite Aid Pharmacies #10925,2158,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Chain Packaged Food Only,
Rite Aid Pharmacies #10928,623,E Ohio St,Pittsburgh,PA,15212,Pittsburgh-123,Chain Packaged Food Only,
Rite Aid Pharmacies #10930,3700,Forbes Ave,Pittsburgh,PA,15213,Pittsburgh-104,Chain Packaged Food Only,
Rite Aid Pharmacies #10933,1956,Greentree Road,Pittsburgh,PA,15220,Scott,Chain Packaged Food Only,
