Billy Kay&#39;s,701,Railroad Street,Verona,PA,15147,Verona,Restaurant with Liquor,
Billy&#39;s Roadhouse,10150,Old Perry Hwy,Wexford,PA,15090,McCandless,Restaurant with Liquor,
Birmingham Bridge Tavern,2901,Sarah St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
Bishop&#39;s Corner,4701,Campbells Run Rd,Pittsburgh,PA,15205,Robinson,Restaurant with Liquor,
Bistro 19,711,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Restaurant with Liquor,
Bistro 9101,9101,Perry  Highway,Pittsburgh,PA,15237,McCandless,Restaurant with Liquor,
Bites &amp; Brews / Elbow Room,5750,Ellsworth  Avenue,Pittsburgh,PA,15232,Pittsburgh-107,Restaurant with Liquor,
Black &amp; Gold Sports Bar ,999,Steen Road / Trader Jacks Flea Market,Bridgeville,PA,15017,Collier,Restaurant with Liquor,
Black Beauty Lounge,2037,Centre Avenue,Pittsburgh,PA,15219,Pittsburgh-105,Restaurant with Liquor,
Black Thorn Pub,625,Long Rd,Pittsburgh,PA,15235,Penn Hills,Restaurant with Liquor,
Blaine Hill BBQ,3011,Liberty Way,Mc Keesport,PA,15133,Liberty Boro,Restaurant with Liquor,
Blend Bar,436,7th Avenue,Pittsburgh,PA,15219,Pittsburgh-102,Chain Restaurant with Liquor,
Blinky&#39;s Noble Grill &amp; Bar,2350,Noblestown  Road,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant with Liquor,
Block 292,292,Beverly  Road,Pittsburgh,PA,15216,Mt Lebanon,Restaurant with Liquor,
Blondie&#39;s,811,Allegheny River Boulevard,Verona,PA,15147,Verona,Restaurant with Liquor,
Blondies,1035,Chartiers Ave,Mc Kees Rocks,PA,15136,McKees Rocks,Restaurant with Liquor,
Bloomfield Bridge Tavern,4412,Liberty Ave,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor,
Blue Dust,601,Amity Street,Homestead,PA,15120,Homestead,Restaurant with Liquor,
Blue Flame Rest,360,State Hwy 51,Clairton,PA,15025,Jefferson,Restaurant with Liquor,
Blue Haven Lounge,492,Nixon Road,Cheswick,PA,15024,Harmar,Restaurant with Liquor,
Blue Moon On Butler St,5115,Butler St,Pittsburgh,PA,15201,Pittsburgh-110,Restaurant with Liquor,
Blue North,1701,Duncan Avenue,Allison Park,PA,15101,McCandless,Restaurant with Liquor,
Blush Sports Bar,135,9th  Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant with Liquor,
Bob Bets Lounge,5455,Curry Rd,Pittsburgh,PA,15236,Baldwin Boro,Restaurant with Liquor,
Bob&#39;s Garage,1372,Freeport Road,Pittsburgh,PA,15238,O&#39;Hara,Restaurant with Liquor,
Bob&#39;s Lounge,944,Greensburg Pike,East Pittsburgh,PA,15112,Wilkins,Restaurant with Liquor,
Bobby P&#39;S Inn The Ruff,6229,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Restaurant with Liquor,
Bobby&#39;s Lounge,3304,Saw Mill Run Blvd,Pittsburgh,PA,15227,Brentwood,Restaurant with Liquor,
Bocktown Beer &amp; Grill,690,Chauvet Drive,Pittsburgh,PA,15275,North Fayette,Restaurant with Liquor,
Bonefish Grill #0309,1835,Washington Road,Pittsburgh,PA,15241,Upper St Clair,Chain Restaurant with Liquor,
Bonefish Grill #329,8950,Covenant  Avenue,Pittsburgh,PA,15237,McCandless,Chain Restaurant with Liquor,
Boomerang Bar,1928,Monongahela Ave,Pittsburgh,PA,15218,Swissvale,Restaurant with Liquor,
Bootlegger&#39;s,403,Semple St,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor,
Boots,819,2nd Avenue,Brackenridge,PA,15014,Brackenridge,Restaurant with Liquor,
Bottega Dei Sapori,&nbsp;,Pgh Intl Airport / AC-8A/B,Pittsburgh,PA,15231,Findlay,Chain Restaurant with Liquor,
Boulevard Restaurant,605,Mt Royal  Boulevard,Pittsburgh,PA,15223,Shaler,Restaurant with Liquor,
Brackenridge American Legion Post 226,845,1st Avenue,Brackenridge,PA,15014,Brackenridge,Restaurant with Liquor,
Brass Monkey,428,N State St,Clairton,PA,15025,Clairton,Restaurant with Liquor,
Bravo! Cucina Italian #34,1500,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant with Liquor,
Bravo! Cucina Italiana,250,Bridge Street,Homestead,PA,15120,West Homestead,Chain Restaurant with Liquor,
Bravo! Cucina Italiana,211,Summit Park Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant with Liquor,
Bravo! Cucina Italiana,4976,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant with Liquor,
Breaker&#39;s Lounge,1413,Potomac Avenue,Pittsburgh,PA,15216,Dormont,Restaurant with Liquor,
Brewer&#39;s Hotel,3315,Liberty Ave,Pittsburgh,PA,15201,Pittsburgh-106,Restaurant with Liquor,
Brews Brothers,315,Mt Lebanon Boulevard,Pittsburgh,PA,15234,Castle Shannon,Restaurant with Liquor,
Brewski&#39;s,801,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
Brillobox,4104,Penn  Avenue,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant with Liquor,
Broad Street Bistro,1025,Broad Street,North Versailles,PA,15137,North Versailles,Restaurant with Liquor,
Bronze Hood,5920,Steubenville Pike,Mc Kees Rocks,PA,15136,Robinson,Restaurant with Liquor,
Brookline N Sinker Bar ,806,Brookline  Boulevard,Pittsburgh,PA,15226,Pittsburgh-119,Restaurant with Liquor,
Brothers Grimm,136,Old Beaver Grade Road,Coraopolis,PA,15108,Robinson,Restaurant with Liquor,
Bruceton Grille ,530,Bruceton  Road,Pittsburgh,PA,15236,Pleasant Hills,Restaurant with Liquor,
Bruceton Station ,1152,Cochran Mill  Road,Pittsburgh,PA,15236,South Park,Restaurant with Liquor,
Bruegger&#39;s Bagels,&nbsp;,Pgh Intl Airport / SE-10A/B,Pittsburgh,PA,15231,Findlay,Chain Restaurant with Liquor,
Bruneaux,409,Beaver  Street,Sewickley,PA,15143,Sewickley,Restaurant with Liquor,
Brush Creek Inn,295,Northgate  Drive,Warrendale,PA,15086,Marshall,Restaurant with Liquor,
Bubba&#39;s Bar &amp; Grill,312-14,Ringold St,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor,
Bubba&#39;s Gourmet Burghers &amp; Beer,3109,Washington Pike,Bridgeville,PA,15017,South Fayette,Restaurant with Liquor,
Buca Di Beppo,6600,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
Buca Di Beppo,210,W Station Sq Dr,Pittsburgh,PA,15219,Pittsburgh-119,Chain Restaurant with Liquor,
Buckhead Saloon,225,Station Sq Dr,Pittsburgh,PA,15219,Pittsburgh-119,Chain Restaurant with Liquor,
Bud&#39;s Place,1128,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Restaurant with Liquor,
Buffalo Wild Wings #318,9996,Mountain View Drive,West Mifflin,PA,15122,West Mifflin,Chain Restaurant with Liquor,
Buffalo Wild Wings Grill &amp; Bar  ,500,Grandview Crossing  Drive,Gibsonia,PA,15044,Richland,Chain Restaurant with Liquor,
Buffalo Wild Wings Grill &amp; Bar  #302,3469,Wm Penn  Highway,Pittsburgh,PA,15235,Wilkins,Chain Restaurant with Liquor,
Buffalo Wild Wings Grill &amp; Bar #21,480,Home Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant with Liquor,
Buford&#39;s Kitchen,5980,University Boulevard,Coraopolis,PA,15108,Moon,Chain Restaurant with Liquor,
Buford&#39;s Kitchen / Uptown,1014,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor,
Bulldog Pub &amp; Grill,1818,Morningside Avenue,Pittsburgh,PA,15206,Pittsburgh-110,Restaurant with Liquor,
Burgatory,299,Bridge Street,Homestead,PA,15120,West Homestead,Chain Restaurant with Liquor,
Burgatory,932,Freeport Road,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant with Liquor,
Burgatory,300,McHolme Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant with Liquor,
Burgatory / McCandless ,700,Providence  Boulevard,Pittsburgh,PA,15237,McCandless,Chain Restaurant with Liquor,
Burgatory / North Shore,342,North Shore  Drive,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor,
Burger&#39;z on 8,6044,Wm Flynn Highway,Bakerstown,PA,15007,Richland,Restaurant with Liquor,
Burgh&#39;s Pizza &amp; Wings,533,Washington  Avenue,Bridgeville,PA,15017,Bridgeville,Restaurant with Liquor,
Butter&#39;s,2703,Grover St,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor,
C-Note&#39;s Bar &amp; Pizzeria,524,State Street,Clairton,PA,15025,Clairton,Restaurant with Liquor,
CC&#39;s Cafe,2218,Main St,Pittsburgh,PA,15215,Sharpsburg,Restaurant with Liquor,
CJ Chug&#39;s,2895,Custer Ave,Pittsburgh,PA,15227,Baldwin Boro,Restaurant with Liquor,
Cabana Bar ,100,Village Club Drive,Wexford,PA,15090,Pine,Restaurant with Liquor,
Cadillac Ranch All American Bar &amp; Grill,1060,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
Caesar&#39;s Tavern,701,Penn Ave,Turtle Creek,PA,15145,Turtle Creek,Restaurant with Liquor,
Cafe Fifth Avenue,818,5th Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor,
Cafe IO,300  A,Beverly Rd,Pittsburgh,PA,15216,Mt Lebanon,Restaurant with Liquor,
Cafe Milano,134,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
