\103 Federal St, Pittsburgh, PA 15212, USA\,40.4480683,-80.00424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\110 Beverly Rd, Pittsburgh, PA 15216, USA\,40.3936983,-80.0467393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\946 Penn Ave, Pittsburgh, PA 15222, USA\,40.4440164,-79.9962956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\Atlantic Gold Exchange, 16099 Perry Hwy, Warrendale, PA 15086, USA\,40.6548819,-80.0872581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\122 Broad St, Leetsdale, PA 15056, USA\,40.566402,-80.2105005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\400 Cedar Ave, Pittsburgh, PA 15212, USA\,40.4518258,-80.0007752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2425 South Park Rd, Bethel Park, PA 15102, USA\,40.3293168,-80.0231213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\106 Washington Ave, Oakmont, PA 15139, USA\,40.5162084,-79.8474269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\718 Brown Ave, Turtle Creek, PA 15145, USA\,40.4276863,-79.8365234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\428 S 27th St, Pittsburgh, PA 15203, USA\,40.4282789,-79.9657314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1819 Washington Rd, Pittsburgh, PA 15241, USA\,40.3450122,-80.0554318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\8970 Covenant Ave, Pittsburgh, PA 15237, USA\,40.5701307,-80.0230829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1500 Washington Rd, Pittsburgh, PA 15228, USA\,40.3569591,-80.0518073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\307 Beverly Rd, Pittsburgh, PA 15216, USA\,40.388623,-80.0498751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\940 Penn Ave, Pittsburgh, PA 15222, USA\,40.4439437,-79.9965813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\335 E Main St, Carnegie, PA 15106, USA\,40.409746,-80.083623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3049 Churchview Ave, Pittsburgh, PA 15227, USA\,40.3861425,-79.9676463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\176 Curry Hollow Rd, Pittsburgh, PA 15236, USA\,40.3384939,-79.9688663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\48 Greenway Dr, Pittsburgh, PA 15204, USA\,40.450527,-80.052318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1101 Bradish St, Pittsburgh, PA 15203, USA\,40.4271724,-79.9874543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\101 Simpson Howell Rd, Elizabeth, PA 15037, USA\,40.2726927,-79.8372154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\330 N Shore Dr, Pittsburgh, PA 15212, USA\,40.4460877,-80.0103221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2216 Penn Ave, Pittsburgh, PA 15222, USA\,40.4524729,-79.9815138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\635 Brown Ave, Turtle Creek, PA 15145, USA\,40.424985,-79.834987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4711 Butler St, Pittsburgh, PA 15201, USA\,40.4745089,-79.9579076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1608 Pittsburgh St, Cheswick, PA 15024, USA\,40.5408969,-79.7971242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\319 E 6th Ave, Tarentum, PA 15084, USA\,40.603055,-79.753322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\5560 William Flinn Hwy, Gibsonia, PA 15044, USA\,40.6330641,-79.9395907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\861 5th Ave, Coraopolis, PA 15108, USA\,40.519017,-80.167558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\675 Painters Run Rd, Pittsburgh, PA 15228, USA\,40.361471,-80.069227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\710 Hite Rd, Harwick, PA 15049, USA\,40.5554775,-79.8083579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\315 Olivia St, McKees Rocks, PA 15136, USA\,40.4746521,-80.0571267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\604 Hampshire Ave, Pittsburgh, PA 15216, USA\,40.4107656,-80.0192513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3249 Washington Pike #1004, Bridgeville, PA 15017, USA\,40.3406094,-80.1198224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1323 E Carson St, Pittsburgh, PA 15203, USA\,40.428815,-79.9843106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\600 5th Ave, McKeesport, PA 15132, USA\,40.3513734,-79.8594934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\235 5th St, Jefferson Hills, PA 15025, USA\,40.2682285,-79.9041296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\411 Wood St, Pittsburgh, PA 15222, USA\,40.4398239,-80.0012038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\110 Federal St, Pittsburgh, PA 15212, USA\,40.4481082,-80.0038358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2602 Brandt School Rd, Wexford, PA 15090, USA\,40.6155836,-80.0929885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1914 Penn Ave, Pittsburgh, PA 15222, USA\,40.4508598,-79.9839287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1204 Grandview Ave, Pittsburgh, PA 15211, USA\,40.4379769,-80.0183123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1710 Duncan Ave, Allison Park, PA 15101, USA\,40.5661986,-79.9982161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2100 Greentree Rd, Pittsburgh, PA 15220, USA\,40.3921909,-80.0702556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\900 Western Ave, Pittsburgh, PA 15233, USA\,40.4520989,-80.016762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\706 Ambridge Ave, Ambridge, PA 15003, USA\,40.5887414,-80.2035218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1435 Freeport Rd, Cheswick, PA 15024, USA\,40.541057,-79.8078441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\201 Saline St, Pittsburgh, PA 15207, USA\,40.4271297,-79.9495967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\396 Butler St, Etna, PA 15223, USA\,40.4977004,-79.9438702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\321 Bigham St, Pittsburgh, PA 15211, USA\,40.4323916,-80.0150504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1001 Liberty Ave, Pittsburgh, PA 15222, USA\,40.4442087,-79.9946687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\701 E Railroad Ave, Verona, PA 15147, USA\,40.505058,-79.8439609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\10150 Old Perry Hwy, Wexford, PA 15090, USA\,40.5979898,-80.0457227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2901 Sarah St, Pittsburgh, PA 15203, USA\,40.4245046,-79.9645648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4701 Campbells Run Rd, Pittsburgh, PA 15205, USA\,40.430691,-80.1350444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\711 Washington Rd, Pittsburgh, PA 15228, USA\,40.3800882,-80.0444373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\9101 Perry Hwy, Pittsburgh, PA 15237, USA\,40.5719043,-80.0369822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\5750 Ellsworth Ave, Pittsburgh, PA 15232, USA\,40.4557053,-79.930891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2037 Centre Ave, Pittsburgh, PA 15219, USA\,40.4443871,-79.9792498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\625 Long Rd, Penn Hills, PA 15235, USA\,40.4544085,-79.8374187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3011 Liberty Way, McKeesport, PA 15133, USA\,40.321376,-79.8580603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 436 Seventh Ave, Pittsburgh, PA 15219, USA\,40.4421111,-79.9955541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2350 Noblestown Rd, Pittsburgh, PA 15205, USA\,40.4274344,-80.0556837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\292 Beverly Rd, Pittsburgh, PA 15216, USA\,40.389079,-80.049528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\811 Allegheny River Blvd, Verona, PA 15147, USA\,40.506797,-79.842589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1035 Chartiers Ave, McKees Rocks, PA 15136, USA\,40.464807,-80.0678609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4412 Liberty Ave, Pittsburgh, PA 15224, USA\,40.463252,-79.9525956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\601 Amity St, Homestead, PA 15120, USA\,40.4079565,-79.9116502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\492 Nixon Rd, Cheswick, PA 15024, USA\,40.5561315,-79.8203588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
