Name	Address	Lat	Long
Billy&#39;s Roadhouse	10150 Old Perry Hwy Wexford, PA 15090	40.5979898	-80.0457227
Birmingham Bridge Tavern	2901 Sarah St Pittsburgh, PA 15203	40.4245046	-79.9645648
Bishop&#39;s Corner	4701 Campbells Run Rd Pittsburgh, PA 15205	40.430691	-80.1350444
Bistro 19	711 Washington Rd Pittsburgh, PA 15228	40.3800882	-80.0444373
Bistro 9101	9101 Perry  Highway Pittsburgh, PA 15237	40.5719043	-80.0369822
Bites &amp; Brews / Elbow Room	5750 Ellsworth  Avenue Pittsburgh, PA 15232	40.4557053	-79.930891
Black &amp; Gold Sports Bar 	999 Steen Road / Trader Jacks Flea Market Bridgeville, PA 15017		
Black Beauty Lounge	2037 Centre Avenue Pittsburgh, PA 15219	40.4443871	-79.9792498
Black Thorn Pub	625 Long Rd Pittsburgh, PA 15235	40.4544085	-79.8374187
Blaine Hill BBQ	3011 Liberty Way Mc Keesport, PA 15133	40.321376	-79.8580603
Blend Bar	436 7th Avenue Pittsburgh, PA 15219	40.4421111	-79.9955541
Blinky&#39;s Noble Grill &amp; Bar	2350 Noblestown  Road Pittsburgh, PA 15205	40.4274344	-80.0556837
Block 292	292 Beverly  Road Pittsburgh, PA 15216	40.389079	-80.049528
Blondie&#39;s	811 Allegheny River Boulevard Verona, PA 15147	40.506797	-79.842589
Blondies	1035 Chartiers Ave Mc Kees Rocks, PA 15136	40.464807	-80.0678609
Bloomfield Bridge Tavern	4412 Liberty Ave Pittsburgh, PA 15224	40.463252	-79.9525956
Blue Dust	601 Amity Street Homestead, PA 15120	40.4079565	-79.9116502
Blue Flame Rest	360 State Hwy 51 Clairton, PA 15025		
Blue Haven Lounge	492 Nixon Road Cheswick, PA 15024	40.5561315	-79.8203588
Blue Moon On Butler St	5115 Butler St Pittsburgh, PA 15201	40.4788739	-79.9556425
Blue North	1701 Duncan Avenue Allison Park, PA 15101	40.5673753	-79.9994328
Blush Sports Bar	135 9th  Street Pittsburgh, PA 15222	40.4442033	-79.9983438
Bob Bets Lounge	5455 Curry Rd Pittsburgh, PA 15236	40.337159	-79.9912092
Bob&#39;s Garage	1372 Freeport Road Pittsburgh, PA 15238	40.4895782	-79.8723566
Bob&#39;s Lounge	944 Greensburg Pike East Pittsburgh, PA 15112	40.4445473	-79.8604245
Bobby P&#39;S Inn The Ruff	6229 Saltsburg Road Pittsburgh, PA 15235	40.4843559	-79.8159614
Bobby&#39;s Lounge	3304 Saw Mill Run Blvd Pittsburgh, PA 15227	40.3753532	-79.9833533
Bocktown Beer &amp; Grill	690 Chauvet Drive Pittsburgh, PA 15275	40.445952	-80.1807909
Bonefish Grill #0309	1835 Washington Road Pittsburgh, PA 15241	40.3452316	-80.0563137
Bonefish Grill #329	8950 Covenant  Avenue Pittsburgh, PA 15237	40.5696377	-80.0231316
Boomerang Bar	1928 Monongahela Ave Pittsburgh, PA 15218	40.421034	-79.890146
Bootlegger&#39;s	403 Semple St Pittsburgh, PA 15213	40.4370188	-79.9548448
Boots	819 2nd Avenue Brackenridge, PA 15014	40.604242	-79.74427
Bottega Dei Sapori	&nbsp; Pgh Intl Airport / AC-8A/B Pittsburgh, PA 15231		
Boulevard Restaurant	605 Mt Royal  Boulevard Pittsburgh, PA 15223		
Brackenridge American Legion Post 226	845 1st Avenue Brackenridge, PA 15014	40.6028847	-79.7423071
Brass Monkey	428 N State St Clairton, PA 15025	40.308402	-79.8885362
Bravo! Cucina Italian #34	1500 Washington Rd Pittsburgh, PA 15228	40.3569591	-80.0518073
Bravo! Cucina Italiana	250 Bridge Street Homestead, PA 15120		
Bravo! Cucina Italiana	211 Summit Park Drive Pittsburgh, PA 15275	40.4485228	-80.1806074
Bravo! Cucina Italiana	4976 McKnight Rd Pittsburgh, PA 15237	40.5313255	-80.0092614
Breaker&#39;s Lounge	1413 Potomac Avenue Pittsburgh, PA 15216	40.3952987	-80.034823
Brewer&#39;s Hotel	3315 Liberty Ave Pittsburgh, PA 15201	40.461509	-79.9678598
Brews Brothers	315 Mt Lebanon Boulevard Pittsburgh, PA 15234		
Brewski&#39;s	801 E Carson St Pittsburgh, PA 15203	40.428858	-79.990906
Brillobox	4104 Penn  Avenue Pittsburgh, PA 15224	40.465505	-79.9547632
Broad Street Bistro	1025 Broad Street North Versailles, PA 15137	40.374158	-79.79728
Bronze Hood	5920 Steubenville Pike Mc Kees Rocks, PA 15136	40.448866	-80.142405
Brookline N Sinker Bar 	806 Brookline  Boulevard Pittsburgh, PA 15226	40.3933485	-80.0199874
Brothers Grimm	136 Old Beaver Grade Road Coraopolis, PA 15108	40.466277	-80.1533505
Bruceton Grille 	530 Bruceton  Road Pittsburgh, PA 15236	40.328073	-79.946763
Bruceton Station 	1152 Cochran Mill  Road Pittsburgh, PA 15236		
Bruegger&#39;s Bagels	&nbsp; Pgh Intl Airport / SE-10A/B Pittsburgh, PA 15231		
Bruneaux	409 Beaver  Street Sewickley, PA 15143	40.5412761	-80.1813903
Brush Creek Inn	295 Northgate  Drive Warrendale, PA 15086	40.6549818	-80.0809218
Bubba&#39;s Bar &amp; Grill	312-14 Ringold St Mc Keesport, PA 15132		
Bubba&#39;s Gourmet Burghers &amp; Beer	3109 Washington Pike Bridgeville, PA 15017	40.3485006	-80.1114895
Buca Di Beppo	6600 Robinson Center Drive Pittsburgh, PA 15205		
Buca Di Beppo	210 W Station Sq Dr Pittsburgh, PA 15219		
Buckhead Saloon	225 Station Sq Dr Pittsburgh, PA 15219		
Bud&#39;s Place	1128 Brownsville Rd Pittsburgh, PA 15210	40.404606	-79.990753
Buffalo Wild Wings #318	9996 Mountain View Drive West Mifflin, PA 15122	40.3400558	-79.9528995
Buffalo Wild Wings Grill &amp; Bar  	500 Grandview Crossing  Drive Gibsonia, PA 15044		
Buffalo Wild Wings Grill &amp; Bar  #302	3469 Wm Penn  Highway Pittsburgh, PA 15235		
Buffalo Wild Wings Grill &amp; Bar #21	480 Home Drive Pittsburgh, PA 15275	40.4511434	-80.1831886
Buford&#39;s Kitchen	5980 University Boulevard Coraopolis, PA 15108		
Buford&#39;s Kitchen / Uptown	1014 5th  Avenue Pittsburgh, PA 15219	40.4385515	-79.9904322
Bulldog Pub &amp; Grill	1818 Morningside Avenue Pittsburgh, PA 15206	40.4867047	-79.9265301
Burgatory	299 Bridge Street Homestead, PA 15120		
Burgatory	932 Freeport Road Pittsburgh, PA 15238	40.4891418	-79.8930872
Burgatory	300 McHolme Drive Pittsburgh, PA 15275	40.4484249	-80.1746607
Burgatory / McCandless 	700 Providence  Boulevard Pittsburgh, PA 15237	40.5699485	-80.0215095
Burgatory / North Shore	342 North Shore  Drive Pittsburgh, PA 15212	40.4463109	-80.0111334
Burger&#39;z on 8	6044 Wm Flynn Highway Bakerstown, PA 15007		
Burgh&#39;s Pizza &amp; Wings	533 Washington  Avenue Bridgeville, PA 15017	40.3575556	-80.1122958
Butter&#39;s	2703 Grover St Mc Keesport, PA 15132	40.341636	-79.845837
C-Note&#39;s Bar &amp; Pizzeria	524 State Street Clairton, PA 15025	40.2935044	-79.8746384
CC&#39;s Cafe	2218 Main St Pittsburgh, PA 15215	40.4935637	-79.914513
CJ Chug&#39;s	2895 Custer Ave Pittsburgh, PA 15227	40.394497	-79.970855
Cabana Bar 	100 Village Club Drive Wexford, PA 15090	40.633976	-80.0507874
Cadillac Ranch All American Bar &amp; Grill	1060 Settlers Ridge Center Drive Pittsburgh, PA 15205		
Caesar&#39;s Tavern	701 Penn Ave Turtle Creek, PA 15145	40.405226	-79.826057
Cafe Fifth Avenue	818 5th Avenue Pittsburgh, PA 15219	40.4387014	-79.992011
Cafe IO	300  A Beverly Rd Pittsburgh, PA 15216	40.3888811	-80.0498574
Cafe Milano	134 6th Street Pittsburgh, PA 15222	40.4430956	-80.0026254
Cafe Nico&#39;s	212 Shiloh St Pittsburgh, PA 15211	40.430334	-80.0075678
Cafe Notte	8070 Ohio River Blvd Pittsburgh, PA 15202	40.5096845	-80.0917109
Caf&#233; Sam	5242 Baum Blvd Pittsburgh, PA 15224	40.456228	-79.9402508
Cain&#39;s Saloon	3239 W Liberty  Avenue Pittsburgh, PA 15216	40.3897325	-80.0408987
Cal&#39;s Cantina	617 Eden Park Blvd Mc Keesport, PA 15132	40.3297658	-79.8335839
Cala Lily 	500 Grandview Crossing  Drive Gibsonia, PA 15044		
Calabria&#39;s Restaurant	3107 Library  Road Pittsburgh, PA 15234	40.3733822	-80.0062991
Caliente Pizza &amp; Draft House	4624 Liberty  Avenue Pittsburgh, PA 15224	40.4619826	-79.9501464
Caliente Pizza &amp; Draft House	329 Castle Shannon  Boulevard Pittsburgh, PA 15228	40.3762608	-80.0367425
Caliente Pizza &amp; Draft House	4706 William Flynn Highway Allison Park, PA 15101	40.5939265	-79.9470311
California Pizza Kitchen	1000 Ross Park Mall Drive Pittsburgh, PA 15237	40.5389691	-80.0077114
Cambria Suites @ Consol - Social Circle 	1320 Centre Avenue Pittsburgh, PA 15219	40.4402268	-79.9877998
Campus Bookstore	3610 5th Ave Pittsburgh, PA 15213	40.441389	-79.9586018
Cantley&#39;s Night Life	609 W Main St Carnegie, PA 15106	40.4020244	-80.0945324
